
PHP CODE SNIFFER VIOLATION SOURCE SUMMARY
----------------------------------------------------------------------------------------
    SOURCE                                                                         COUNT
[ ] Squiz.Commenting.FileComment.MissingPackageTag                                 3
[ ] Squiz.Commenting.LongConditionClosingComment.SpacingBefore                     3
[ ] WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedConstantFound          3
[ ] WordPress.NamingConventions.ValidVariableName.MemberNotSnakeCase               3
[x] WordPress.WhiteSpace.ControlStructureSpacing.NoSpaceBeforeOpenParenthesis      2
[x] WordPress.WhiteSpace.ControlStructureSpacing.NoSpaceAfterStructureOpen         2
[x] Squiz.PHP.EmbeddedPhp.ContentBeforeOpen                                        2
[x] Squiz.PHP.EmbeddedPhp.ContentAfterEnd                                          2
[x] Squiz.Commenting.BlockComment.NoNewLine                                        2
[x] Squiz.PHP.EmbeddedPhp.ContentBeforeEnd                                         2
[x] Squiz.Commenting.LongConditionClosingComment.Invalid                           2
[x] WordPress.WhiteSpace.ControlStructureSpacing.ExtraSpaceBeforeCloseParenthesis  2
[x] Squiz.PHP.EmbeddedPhp.ContentAfterOpen                                         2
[ ] WordPress.PHP.DiscouragedPHPFunctions.serialize_unserialize                    2
[ ] Generic.CodeAnalysis.UselessOverridingMethod.Found                             2
[ ] Generic.CodeAnalysis.EmptyStatement.DetectedElse                               2
[ ] Generic.CodeAnalysis.EmptyStatement.DetectedElseif                             2
[ ] Squiz.Commenting.VariableComment.WrongStyle                                    2
[ ] WordPress.CodeAnalysis.AssignmentInCondition.FoundInWhileCondition             2
[ ] Squiz.PHP.DisallowObEndFlush.Found                                             2
[ ] WordPress.WP.AlternativeFunctions.file_system_read_file_put_contents           2
[ ] WordPress.DB.PreparedSQLPlaceholders.ReplacementsWrongNumber                   2
[x] Generic.Functions.OpeningFunctionBraceKernighanRitchie.SpaceBeforeBrace        1
[x] Squiz.Commenting.DocCommentAlignment.NoSpaceAfterStar                          1
[x] WordPress.Arrays.MultipleStatementAlignment.LongIndexSpaceBeforeDoubleArrow    1
[x] PSR2.ControlStructures.ElseIfDeclaration.NotAllowed                            1
[x] WordPress.WhiteSpace.ControlStructureSpacing.OpenBraceNotSameLine              1
[x] PEAR.Files.IncludingFile.UseRequireOnce                                        1
[x] Generic.Functions.FunctionCallArgumentSpacing.SpaceBeforeComma                 1
[x] Generic.Formatting.MultipleStatementAlignment.IncorrectWarning                 1
[x] Squiz.WhiteSpace.SuperfluousWhitespace.EmptyLines                              1
[x] Generic.Commenting.DocComment.SpacingBeforeTags                                1
[x] Generic.Files.EndFileNewline.NotFound                                          1
[x] WordPress.Arrays.ArrayIndentation.MultiLineArrayItemNotAligned                 1
[x] WordPress.WhiteSpace.SemicolonSpacing.Incorrect                                1
[ ] Generic.Classes.DuplicateClassName.Found                                       1
[ ] WordPress.WP.I18n.NonSingularStringLiteralPlural                               1
[ ] WordPress.WP.I18n.NonSingularStringLiteralSingle                               1
[ ] WordPress.PHP.DevelopmentFunctions.error_log_trigger_error                     1
[ ] WordPress.NamingConventions.ValidHookName.UseUnderscores                       1
[ ] WordPress.PHP.DevelopmentFunctions.prevent_path_disclosure_error_reporting     1
[ ] WordPress.WP.EnqueuedResources.NonEnqueuedStylesheet                           1
[ ] Generic.CodeAnalysis.EmptyStatement.DetectedCatch                              1
[ ] WordPress.PHP.DiscouragedPHPFunctions.runtime_configuration_error_reporting    1
[ ] Squiz.Operators.ValidLogicalOperators.NotAllowed                               1
[ ] Squiz.Commenting.BlockComment.HasEmptyLineBefore                               1
[ ] PHPCompatibility.PHP.NewClosure.ThisFound                                      1
[ ] Squiz.Commenting.FileComment.WrongStyle                                        1
[ ] Squiz.Commenting.ClassComment.Missing                                          1
[ ] PHPCompatibility.PHP.NewClosure.ThisFoundOutsideClass                          1
[ ] WordPress.PHP.DiscouragedPHPFunctions.obfuscation_base64_decode                1
[ ] Squiz.Commenting.FunctionCommentThrowTag.Missing                               1
[ ] Generic.Commenting.DocComment.LongNotCapital                                   1
----------------------------------------------------------------------------------------
A TOTAL OF 8743 SNIFF VIOLATIONS WERE FOUND IN 148 SOURCES
----------------------------------------------------------------------------------------
PHPCBF CAN FIX THE 52 MARKED SOURCES AUTOMATICALLY (2630 VIOLATIONS IN TOTAL)
----------------------------------------------------------------------------------------


